,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,loss,mean_absolute_error,mean_absolute_percentage_error
406,3167.87987851,13.54781915,2.94357474,6730.61000109,24.48961655,4.16866102
407,1624.28680099,11.85035376,3.09492091,8235.15873217,25.34176160,4.32292348
408,3900.19417505,23.30478891,4.86033802,4824.53057588,19.92055394,3.86205788
409,4010.26111680,21.07396438,4.09640728,6414.65141338,22.87794958,4.04675564
410,5963.97050757,24.55989211,4.17286876,4407.43491946,19.09740245,3.80363403
411,7301.06949252,28.47691626,4.67287957,6972.06127389,24.87814707,4.25067865
412,5085.56489228,21.83785324,3.82480452,5042.88956369,20.44873338,3.87571463
413,11693.23173577,26.46678383,4.18819912,5305.33409878,21.38680685,3.91359962
414,8469.59485446,30.82033416,5.31286642,5095.14198451,19.07786579,3.72175935
415,6884.98906585,24.38303291,3.57864182,3494.58352866,16.40756737,3.31027978
416,346.76735732,6.61600211,2.47870613,3415.28665197,14.87875106,3.19920182
417,9335.67514678,28.13408408,4.08427332,3890.88363802,17.79557435,3.35098380
418,6181.41714734,20.12226986,3.28414808,4062.92025753,18.26514490,3.40526615
419,7819.38256053,27.28112526,4.10758049,6366.71869667,22.53382347,3.73821693
420,7346.74473875,26.84083657,4.53714130,5048.85396089,21.24271625,3.73668580
421,10361.93754399,29.24191897,4.09787555,5992.50897385,22.26130428,3.86140046
422,9902.42102155,33.60260540,5.12715682,4535.74548579,19.39990845,3.62054709
423,42007.46153802,63.38496495,7.59862223,5106.96006182,20.76155682,3.74885740
424,1164.77095766,11.08914916,2.84446887,4611.65773620,18.33910246,3.60682795
425,18177.55219458,45.06534105,6.50694760,4674.42432004,20.14552085,3.68390373
426,7999.38287179,25.06707843,4.06869474,6557.30393349,24.09888303,4.05703979
427,6015.72791510,20.47580565,3.20801021,4760.13538096,19.03164189,3.60892687
428,28066.44642365,51.43642797,6.90332342,3442.42661893,17.50336699,3.45855726
429,16336.00778764,37.16516691,5.16302900,5202.77207605,21.00959307,3.78831308
430,3429.13863793,19.10053873,3.45022636,5934.44734236,21.47698984,3.79907697
431,13895.26428339,28.57849727,3.76612361,4216.93533584,19.18501938,3.55822584
432,2410.83033464,14.14660174,3.01498602,7744.24612186,25.66502324,4.07470785
433,1837.31791610,13.14596366,2.96998964,4657.02195635,19.45012801,3.63361412
434,7913.73148476,25.24799112,3.70141281,3997.89341394,18.07552059,3.52971325
435,2966.86786858,14.99629346,2.89172451,4339.30949310,20.20920193,3.65261509
436,2544.09761107,15.32904336,3.87207255,4924.26007485,20.02297244,3.75092961
437,1799.01828025,11.87920777,3.05958598,4935.83097321,20.48964092,3.78531374
438,1646.13922255,11.02273388,3.16369840,3880.75635821,16.97209381,3.43453674
439,17958.28004705,40.00806052,5.20746100,5599.54602907,21.76025163,3.86711931
440,5597.60542715,20.24715156,3.25665420,5334.21162621,21.63818974,3.93161634
441,1598.01071434,12.76057516,3.43858164,5995.78593261,22.48865995,3.99408347
442,3547.16657790,14.27355786,2.96238573,5807.78302046,21.00165599,3.93534183
443,2185.38212735,12.89290271,2.90107521,5650.22377140,22.16878259,3.97222953
444,12980.20995544,34.45596965,4.72178636,6791.22875733,24.16651936,4.15857380
445,1531.08666269,11.51299243,2.79322416,5332.30269804,19.63634694,3.72574409
446,18539.86678970,40.12194683,5.82050637,3895.87620491,17.87850671,3.47576294
447,2616.72478963,17.96449169,3.97137224,6933.61631587,24.16407384,4.06362602
448,7896.41760107,24.18288919,3.36541998,3625.48588650,17.86803512,3.54090904
449,5694.75704751,24.99337971,4.22361176,4209.62927132,19.26247588,3.62807069
450,10730.46037332,29.10816049,3.82123476,5268.56946452,21.58071939,3.82351539
451,1295.77343212,10.24822615,2.66934020,5576.08351516,20.62072906,3.73728596
452,611.91387830,7.47891610,2.56792730,5197.92375075,20.79518759,3.73503510
453,985.55226701,8.45001246,2.65495431,3723.77191550,17.05945720,3.42691226
454,2382.48598627,16.28488847,3.39987198,4730.81766577,18.72946881,3.52900778
455,1149.67666589,10.16073117,2.83268256,5167.18359017,20.97512472,3.77524703
456,20912.24584226,34.44075943,5.16460067,3748.76358523,18.05725965,3.51317433
457,3810.56551957,21.72850581,3.98974932,5332.88772025,20.54222973,3.65625874
458,6064.59406938,23.55109361,4.04894861,4010.02995978,18.86327671,3.46698031
459,2958.14243732,16.34323951,3.17942568,4724.76678968,20.50398790,3.55068106
460,2788.65605445,12.99859885,2.74199353,5946.31074739,23.25045899,3.95233977
461,3055.25689953,15.40468844,3.00913897,3712.85171560,16.96440944,3.29565363
462,11890.63297219,33.04846663,4.38152742,5496.98402227,22.98193972,3.85360414
463,6079.20912638,22.14294075,3.37727188,6113.91355537,22.80739337,3.93006951
464,2952.16047396,15.64594077,3.10859165,5920.65271723,22.69149265,3.94547243
465,3817.70750818,20.31408110,4.13460408,5566.00816011,20.27013610,3.81364628
466,17544.85885098,40.02998989,5.42358522,4772.68600622,20.09280129,3.72145845
467,1100.50552840,9.34081149,2.75655373,6010.50081957,21.63239377,3.86923523
468,2656.07329442,12.60384039,2.84277984,3503.96331408,16.70709353,3.42191952
469,13786.50353618,34.82993695,5.39466270,2878.71707172,14.41729393,3.11587833
